artist,song_name,genres,album_name,song_id,album_id,genres_list,singular_genre,Top Emotions
Krallice,Crystalline Exhaustion,"dissonant death metal, voidgaze, usbm, avant-garde black metal, technical black metal, post-metal, nyc metal",Crystalline Exhaustion,5wyAa1YT9CbnrB3Ed2LBX0,1EpD8xR3mlKjKTMZD73EAw,"['dissonant death metal', 'voidgaze', 'usbm', 'avant-garde black metal', 'technical black metal', 'post-metal', 'nyc metal']",Rock,Emotions unable to be determined
Aztec Camera,Oblivious,"sophisti-pop, new romantic, melancholia, scottish new wave, new wave pop, new wave","High Land, Hard Rain",6Efng3Zejyvsw36sFoL221,1Si9WYxqA71YDOJwCY6M5r,"['sophisti-pop', 'new romantic', 'melancholia', 'scottish new wave', 'new wave pop', 'new wave']",Pop,Emotions unable to be determined
Benjamin Ingrosso,Barnasinnet,swedish pop,En gång i tiden (del 1),7uFHqyNKfujWm3RdImJBsi,6a6tb4fHGGUG0eHzVPDLcc,['swedish pop'],Pop,Emotions unable to be determined
Caravan Palace,Miracle,"nu jazz, electro swing",Chronologic,3Pjj0X0F6TVP6RaQTRX8rR,3YtyKfYxHzyzYhw4yoQ6Hw,"['nu jazz', 'electro swing']",Jazz,Emotions unable to be determined
Liars,We Fenced Other Gardens With The Bones Of Our Own,"noise rock, dance-punk, experimental rock","They Were Wrong, So We Drowned",6anHLkfvpMhQvcLz3QjRYc,6lDZfW6rm9w61pE7yXwtFC,"['noise rock', 'dance-punk', 'experimental rock']",Rock,Emotions unable to be determined
Kodak Black,Codeine Dreaming (feat. Lil Wayne),"trap, florida rap, rap, melodic rap, miami hip hop, florida drill, trap latino",Heart Break Kodak,1wHvJ7PJEyEAgiOK5FqAKn,0U578dQAanKmYDKCvqk2P3,"['trap', 'florida rap', 'rap', 'melodic rap', 'miami hip hop', 'florida drill', 'trap latino']",Hip-Hop,"Amusement, Excitement, Love"
Tyler Childers,Feathered Indians,"outlaw country, kentucky roots, kentucky indie",Purgatory,2tgQaL85WoRfgEa4hFQgrE,35LcGAeeMwVeIJrDpB3Gkz,"['outlaw country', 'kentucky roots', 'kentucky indie']",Country,"Amusement, Joy, Excitement"
Manfred Mann's Earth Band,Don't Kill It Carol,"folk rock, blues rock, symphonic rock, heartland rock, hard rock, british blues, album rock, soft rock, mellow gold, progressive rock, art rock, classic rock",Budapest Live,3MgARGXiUFKrUVI6TyPvMS,73d2m8gMjPoMDM9eIFh1fi,"['folk rock', 'blues rock', 'symphonic rock', 'heartland rock', 'hard rock', 'british blues', 'album rock', 'soft rock', 'mellow gold', 'progressive rock', 'art rock', 'classic rock']",Rock,"Excitement, Fear, Calmness"
Dionne Warwick,It's You (with Stevie Wonder),"brill building pop, vocal jazz, adult standards, soft rock, soul, quiet storm, disco",Finder of Lost Loves,4uKgaSTegNxuQbM1WPQrRr,3wkpPuqJ0nXejLl7CgGsNk,"['brill building pop', 'vocal jazz', 'adult standards', 'soft rock', 'soul', 'quiet storm', 'disco']",Pop,Emotions unable to be determined
Silverchair,Freak,"grunge, australian alternative rock, nu metal, alternative metal, australian psych, australian rock, post-grunge, alternative rock",Freak Show,2RDgs05sg2vrpwiAEUkWd0,511p6iaCuK8Sr0BYdpcfkq,"['grunge', 'australian alternative rock', 'nu metal', 'alternative metal', 'australian psych', 'australian rock', 'post-grunge', 'alternative rock']",Rock,Emotions unable to be determined
Soft Cell,Heat,"synthpop, new romantic, new wave pop, new wave",The Art of Falling Apart,7nFBVgbZDV7ANc77WYLaVi,2Zzhc52qE4Elucf6aR6MdF,"['synthpop', 'new romantic', 'new wave pop', 'new wave']",Pop,"Excitement, Anger, Fear"
Hurray For The Riff Raff,Pa'lante,"alternative country, queer country, folk, stomp and holler, new americana, new orleans americana, chamber pop",The Navigator,2U23a01JvBxvuYiQpuHRF5,31poENBRik5Velm7Z2gPSw,"['alternative country', 'queer country', 'folk', 'stomp and holler', 'new americana', 'new orleans americana', 'chamber pop']",Country,"Determination, Confusion, Excitement"
Meghan Trainor,Good Mornin' (feat. Gary Trainor),"pop, hip pop",The Love Train,4hJ66Ebt5fh6xSWoqGrZCC,0kPe8FDWUOInMERIeolerd,"['pop', 'hip pop']",Pop,Excitement
Ravyn Lenae,Closer (Ode 2 U),"indie soul, alternative r&b",Crush,39xVzbZDVYROIkoI0wJU7k,7jxrYnrAa06rekcs1cxp7i,"['indie soul', 'alternative r&b']",R&B,"Distress, Fear, Calmness"
GOLDEN BOMBER,Yeah!metchastress,"visual kei, oshare kei",Compact Disc,3xVE2qWhsjeIULIYa5a8L3,22V3Kxi5wlfh6V2jt39Q2I,"['visual kei', 'oshare kei']",Rock,Fear
