artist,song_name,genres,album_name,song_id,album_id,genres_list,singular_genre,Top Emotions
Firewind,Land of Eternity,"speed metal, melodic metal, greek metal, neo classical metal, symphonic metal, metal, progressive metal, power metal",Forged by Fire,6M0VHKkZiv6UCxQHNf874V,7mJeHKbFKY8zNtUBgiRkN9,"['speed metal', 'melodic metal', 'greek metal', 'neo classical metal', 'symphonic metal', 'metal', 'progressive metal', 'power metal']",Rock,Emotions unable to be determined
That Handsome Devil,F2f,pov: indie,Your Parents Are Sellouts,6zd6u5CmNLZoTzvltwcGz1,08Pu04WxAJmVDeZ6plauZW,['pov: indie'],Alternative,Emotions unable to be determined
Dustin Lynch,Good Girl,"country, contemporary country, modern country rock, country road",Tullahoma,3NgcaTIgVh77DdwAInp996,2jGU6wUOYlyscEVAh6dtg5,"['country', 'contemporary country', 'modern country rock', 'country road']",Country,Emotions unable to be determined
Gorguts,Inverted,"brutal death metal, dissonant death metal, thrash metal, technical death metal, canadian metal, black metal, quebec death metal, death metal",From Wisdom to Hate,5em2K6FyVjfJGkRRKlKOLj,01fhMBV2RCTUsl0D47PH45,"['brutal death metal', 'dissonant death metal', 'thrash metal', 'technical death metal', 'canadian metal', 'black metal', 'quebec death metal', 'death metal']",Rock,Emotions unable to be determined
BAEKHYUN,Get You Alone,k-pop,Baekhyun,3K1hH4PSGXbzczwtdBvMNW,1jV1UooTpZ7c90umcENmOC,['k-pop'],Pop,Emotions unable to be determined
Gucci Mane,Peepin Out the Blinds,"trap, southern hip hop, rap, atl hip hop, hip hop, pop rap, dirty south rap",El Gato: The Human Glacier,2GZ3ilcrZ89O4e40kIXqbe,1u5gq15cYorEthAD0IDDOB,"['trap', 'southern hip hop', 'rap', 'atl hip hop', 'hip hop', 'pop rap', 'dirty south rap']",Hip-Hop,"Excitement, Amusement"
Crowbar,Fall Back To Zero,"groove metal, southern metal, louisiana metal, sludge metal, doom metal",Lifesblood for the Downtrodden,1RGAg43GgHVh5hEK5fI7hp,4EI3xPRKVZLoa1qfll98nU,"['groove metal', 'southern metal', 'louisiana metal', 'sludge metal', 'doom metal']",Rock,Emotions unable to be determined
Marshall Crenshaw,"Someday, Someway","jangle pop, power pop, underground power pop",Marshall Crenshaw,72GhGD5kKpC6tQ6SBoaVcZ,72Xq9V0lCN12Ml84PeLHOl,"['jangle pop', 'power pop', 'underground power pop']",Pop,"Joy, Fear"
Lightspeed Champion,Everyone I Know Is Listening To Crunk,english indie rock,Falling Off the Lavender Bridge,7vB8RVGsZyB4dcDG4ulCHk,3Aq97Ujxj5xG1Zqhj0bptN,['english indie rock'],Rock,Emotions unable to be determined
Coroner,Nosferatu,"swiss metal, technical thrash, thrash metal, old school thrash",R.I.P.,7GDWJw2xnY6DkxKUU5Rxr2,6F98XoLiU6WsRNuyeiXg7d,"['swiss metal', 'technical thrash', 'thrash metal', 'old school thrash']",Rock,Emotions unable to be determined
ROSALÍA,MALAMENTE - Cap.1: Augurio,"pop, r&b en espanol",El mal querer,1B0BQaSRHxhI0AUlItY3LK,355bjCHzRJztCzaG5Za4gq,"['pop', 'r&b en espanol']",Pop,Emotions unable to be determined
Pretty Girls Make Graves,The Nocturnal House,emo,Élan Vital,5EqqyNmie5dcyngu8kgWi4,4GlbJQlJFqqqMPp6V5WLeo,['emo'],Rock,Emotions unable to be determined
Kenny G,The Wedding Song,"smooth saxophone, smooth jazz",Six of Hearts,3xAgXTqCAorynO123Fvnj6,3ZlTqCfuj9zg9xuaMFnBjN,"['smooth saxophone', 'smooth jazz']",Jazz,Emotions unable to be determined
Against All Authority,Daddy's Little Girl,"ska punk, punk, skate punk, ska, crack rock steady",All Fall Down,5fR3xQPqe0PCxjoVdNxlRW,2XWW8wN5Xcx7dY8E9AYLzw,"['ska punk', 'punk', 'skate punk', 'ska', 'crack rock steady']",Rock,Emotions unable to be determined
Paul Simon,One Man's Ceiling Is Another Man's Floor,"folk rock, rock, singer-songwriter, permanent wave, folk, soft rock, mellow gold, classic rock",In the Blue Light,2N9LsBQMtLyMZL0LeydiLW,3PQQXqRozROVS6q2Db5vvY,"['folk rock', 'rock', 'singer-songwriter', 'permanent wave', 'folk', 'soft rock', 'mellow gold', 'classic rock']",Rock,"Distress, Excitement"
Ghostemane,Nihil,"dark trap, cloud rap, florida rap",N/O/I/S/E,1nB6VmrPybx4xwkL80OqdA,2W5rUof3EANdwzqAMtAWhF,"['dark trap', 'cloud rap', 'florida rap']",Hip-Hop,"Disappointment, Anger"
